affiliationid,normalizedname,displayname,university_normalized,University,Country
1320898462,brill publishers,Brill Publishers,brill publishers,NA,NA
1322780083,minnesota department of natural resources,Minnesota Department of Natural Resources,minnesota department of natural resources,NA,NA
1324570277,museum of the city of new york,Museum of the City of New York,museum of the city of new york,NA,NA
1330569906,austrian federal economic chamber,Austrian Federal Economic Chamber,austrian federal economic chamber,NA,NA
1336114048,american wind energy association,American Wind Energy Association,american wind energy association,NA,NA
1338359566,thd electronics,THD Electronics,thd electronics,NA,NA
2799483119,society for public health education,Society for Public Health Education,society for public health education,NA,NA
2799823163,art institute of fort lauderdale,Art Institute of Fort Lauderdale,art institute of fort lauderdale,NA,NA
2799845340,special astrophysical observatory,Special Astrophysical Observatory,special astrophysical observatory,NA,NA
2799887408,adventist university of africa,Adventist University of Africa,adventist university of africa,NA,NA
2799949656,nairobi hospital,Nairobi Hospital,nairobi hospital,NA,NA
2800001333,bundang jesaeng hospital,Bundang Jesaeng Hospital,bundang jesaeng hospital,NA,NA
2800096636,riverview psychiatric center,Riverview Psychiatric Center,riverview psychiatric center,NA,NA
2800218097,pikeville medical center,Pikeville Medical Center,pikeville medical center,NA,NA
2800415932,pueblo community college,Pueblo Community College,pueblo community college,NA,NA
2800620903,alberta advanced education,Alberta Advanced Education,alberta advanced education,NA,NA
2800786371,barlow respiratory hospital,Barlow Respiratory Hospital,barlow respiratory hospital,NA,NA
2800804617,laniado hospital,Laniado Hospital,laniado hospital,NA,NA
2800902709,randolph community college,Randolph Community College,randolph community college,NA,NA
2800941160,providence newberg medical center,Providence Newberg Medical Center,providence newberg medical center,NA,NA
2801045957,ssab sweden,SSAB (Sweden),ssab (sweden),NA,NA
2801140561,hanil university,Hanil University,hanil university,NA,NA
2801198184,fraunhofer institute for high speed dynamics ernst mach institut,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut","fraunhofer institute for high-speed dynamics, ernst-mach-institut",NA,NA
2801395053,kanto junior college,Kanto Junior College,kanto junior college,NA,NA
2801486053,catherine booth hospital,Catherine Booth Hospital,catherine booth hospital,NA,NA
2801523276,belgian federal science policy office,Belgian Federal Science Policy Office,belgian federal science policy office,NA,NA
2801578167,genetics society of america,Genetics Society of America,genetics society of america,NA,NA
2801729525,rex hospital,Rex Hospital,rex hospital,NA,NA
2802057489,moors for the future partnership,Moors for the Future Partnership,moors for the future partnership,NA,NA
2802078327,joint typhoon warning center,Joint Typhoon Warning Center,joint typhoon warning center,NA,NA
2802414496,groupe seb,Groupe SEB,groupe seb,NA,NA
2802706549,consortium of universities for global health,Consortium of Universities for Global Health,consortium of universities for global health,NA,NA
2802932681,accademia di belle arti di napoli,Accademia di Belle Arti di Napoli,accademia di belle arti di napoli,NA,NA
2802957943,georgia department of labor,Georgia Department of Labor,georgia department of labor,NA,NA
2802968421,ashland community hospital,Ashland Community Hospital,ashland community hospital,NA,NA
2802998804,los angeles community college district,Los Angeles Community College District,los angeles community college district,NA,NA
2803016318,gilda s club,Gilda's Club,gilda's club,NA,NA
2803026726,university of utah hospital,University of Utah Hospital,university of utah hospital,NA,NA
2803056085,veer surendra sai medical college and hospital,Veer Surendra Sai Medical College and Hospital,veer surendra sai medical college and hospital,NA,NA
2803059467,memphis zoo,Memphis Zoo,memphis zoo,NA,NA
2830045,indian institute of advanced study,Indian Institute of Advanced Study,indian institute of advanced study,NA,NA
4693666,cgg,CGG,cgg,NA,NA
7377986,takushoku university,Takushoku University,takushoku university,NA,NA
7725651,vector informatik,Vector Informatik,vector informatik,NA,NA
8679417,open university of hong kong,Open University of Hong Kong,open university of hong kong,NA,NA
9623796,cancer council new south wales,Cancer Council New South Wales,cancer council new south wales,NA,NA
10108243,south shields,South Shields,south shields,NA,NA
11617743,anas,ANAS,anas,NA,NA
18014758,simon fraser university,Simon Fraser University,simon fraser university,Simon Fraser University,Canada
24864189,magnesium elektron,Magnesium Elektron,magnesium elektron,NA,NA
27650515,kobe gakuin university,Kobe Gakuin University,kobe gakuin university,NA,NA
33256026,german research centre for artificial intelligence,German Research Centre for Artificial Intelligence,german research centre for artificial intelligence,NA,NA
33851549,coimbatore medical college,Coimbatore Medical College,coimbatore medical college,NA,NA
38257878,energy biosciences institute,Energy Biosciences Institute,energy biosciences institute,NA,NA
40695006,open geospatial consortium,Open Geospatial Consortium,open geospatial consortium,NA,NA
47987569,cirano,CIRANO,cirano,NA,NA
55931168,cukurova university,Çukurova University,cukurova university,Çukurova University,Turkey
56691919,christian theological seminary,Christian Theological Seminary,christian theological seminary,NA,NA
58064216,bellevue university,Bellevue University,bellevue university,NA,NA
60205797,abilene christian university,Abilene Christian University,abilene christian university,NA,NA
70277191,institute of technology carlow,"Institute of Technology, Carlow","institute of technology, carlow",NA,NA
70865968,rhine waal university of applied sciences,Rhine-Waal University of Applied Sciences,rhine-waal university of applied sciences,NA,NA
75380228,mckinsey company,McKinsey & Company,mckinsey & company,NA,NA
82215649,federal railroad administration,Federal Railroad Administration,federal railroad administration,NA,NA
100633361,university of massachusetts dartmouth,University of Massachusetts Dartmouth,university of massachusetts dartmouth,NA,NA
107558787,shin ansan university,Shin Ansan University,shin ansan university,NA,NA
107740395,sri venkateswara institute of medical sciences,Sri Venkateswara Institute of Medical Sciences,sri venkateswara institute of medical sciences,NA,NA
115301423,hiroshima national college of maritime technology,Hiroshima National College of Maritime Technology,hiroshima national college of maritime technology,NA,NA
119906906,national war college,National War College,national war college,NA,NA
119913878,mount ida college,Mount Ida College,mount ida college,NA,NA
132468318,watkins johnson company,Watkins-Johnson Company,watkins-johnson company,NA,NA
134761920,eads astrium space transportation,EADS Astrium Space Transportation,eads astrium space transportation,NA,NA
135369572,pakistan meteorological department,Pakistan Meteorological Department,pakistan meteorological department,NA,NA
137265193,university of chester,University of Chester,university of chester,NA,NA
138272832,devi ahilya vishwavidyalaya,Devi Ahilya Vishwavidyalaya,devi ahilya vishwavidyalaya,NA,NA
142393192,college of staten island,College of Staten Island,college of staten island,NA,NA
142947616,institute of cancer research,Institute of Cancer Research,institute of cancer research,NA,NA
159360068,university of piura,University of Piura,university of piura,NA,NA
159885104,ecole pratique des hautes etudes,École pratique des hautes études,ecole pratique des hautes etudes,NA,NA
165488957,lingnan university,Lingnan University,lingnan university,NA,NA
169729158,syktyvkar state university,Syktyvkar State University,syktyvkar state university,NA,NA
173457850,narajole raj college,Narajole Raj College,narajole raj college,NA,NA
174110171,skr engineering college,SKR Engineering College,skr engineering college,NA,NA
174689663,universidad de flores,Universidad de Flores,universidad de flores,NA,NA
177208993,gold fields ltd,Gold Fields Ltd.,gold fields ltd.,NA,NA
184908088,korea military academy,Korea Military Academy,korea military academy,NA,NA
187792471,ionian university,Ionian University,ionian university,NA,NA
194019607,university of ioannina,University of Ioannina,university of ioannina,University of Ioannina,Greece
201487725,university of atacama,University of Atacama,university of atacama,NA,NA
204831749,southwestern university of finance and economics,Southwestern University of Finance and Economics,southwestern university of finance and economics,NA,NA
209822943,ministry of agriculture food security and cooperatives,"Ministry of Agriculture, Food Security and Cooperatives","ministry of agriculture, food security and cooperatives",NA,NA
214516754,pioneer natural resources,Pioneer Natural Resources,pioneer natural resources,NA,NA
253757931,sunrise communications ag,Sunrise Communications AG,sunrise communications ag,NA,NA
263512288,scientific university of the south,Scientific University of the South,scientific university of the south,NA,NA
296476524,royal australian and new zealand college of radiologists,Royal Australian and New Zealand College of Radiologists,royal australian and new zealand college of radiologists,NA,NA
865455464,better government association,Better Government Association,better government association,NA,NA
871786723,mbia,MBIA,mbia,NA,NA
876193797,vit university,VIT University,vit university,NA,NA
900890020,university of palermo,University of Palermo,university of palermo,University of Palermo,Italy
916559398,kindai university,Kindai University,kindai university,Kindai University,Japan
921011042,amateur athletic union,Amateur Athletic Union,amateur athletic union,NA,NA
922088553,mendel biotechnology inc,"Mendel Biotechnology, Inc.","mendel biotechnology, inc.",NA,NA
932542399,brain and creativity institute,Brain and Creativity Institute,brain and creativity institute,NA,NA
1280755829,peace corps,Peace Corps,peace corps,NA,NA
1288214837,united states naval research laboratory,United States Naval Research Laboratory,united states naval research laboratory,NA,NA
1297473319,national portrait gallery london,"National Portrait Gallery, London","national portrait gallery, london",NA,NA
1299022934,united states department of health and human services,United States Department of Health and Human Services,united states department of health and human services,NA,NA
1299170990,samarkand state university,Samarkand State University,samarkand state university,NA,NA
1299422453,national institute of statistics and geography,National Institute of Statistics and Geography,national institute of statistics and geography,NA,NA
1308309334,translational research institute,Translational Research Institute,translational research institute,NA,NA
1319399744,secretariat of the pacific community,Secretariat of the Pacific Community,secretariat of the pacific community,NA,NA
1330347796,united states department of defense,United States Department of Defense,united states department of defense,NA,NA
1332948034,cbs laboratories,CBS Laboratories,cbs laboratories,NA,NA
2799360765,thomas jefferson university hospital,Thomas Jefferson University Hospital,thomas jefferson university hospital,NA,NA
2799858192,london school of business and management,London School of Business and Management,london school of business and management,NA,NA
2800116692,mississippi museum of natural science,Mississippi Museum of Natural Science,mississippi museum of natural science,NA,NA
2800139495,science for life laboratory,Science for Life Laboratory,science for life laboratory,NA,NA
2800257984,assiniboine community college,Assiniboine Community College,assiniboine community college,NA,NA
2800378187,inha university in tashkent,Inha University in Tashkent,inha university in tashkent,NA,NA
2800415795,almas hospital,Almas Hospital,almas hospital,NA,NA
2800425962,cpb netherlands bureau for economic policy analysis,CPB Netherlands Bureau for Economic Policy Analysis,cpb netherlands bureau for economic policy analysis,NA,NA
2800447973,university of french guiana,University of French Guiana,university of french guiana,NA,NA
2800638548,kern medical center,Kern Medical Center,kern medical center,NA,NA
2800648773,migraine trust,Migraine Trust,migraine trust,NA,NA
2800650105,donbass state pedagogical university,Donbass State Pedagogical University,donbass state pedagogical university,NA,NA
2800663845,bigelow laboratory for ocean sciences,Bigelow Laboratory For Ocean Sciences,bigelow laboratory for ocean sciences,NA,NA
2800805412,catholic university college of bruges ostend,Catholic University College of Bruges–Ostend,catholic university college of bruges-ostend,NA,NA
2801123574,art academy of cincinnati,Art Academy of Cincinnati,art academy of cincinnati,NA,NA
2801155882,bluegrass community and technical college,Bluegrass Community and Technical College,bluegrass community and technical college,NA,NA
2801204984,youngnam theological university and seminary,Youngnam Theological University and Seminary,youngnam theological university and seminary,NA,NA
2801246515,pih health hospital,PIH Health Hospital,pih health hospital,NA,NA
2801551205,the ohio state university at marion,The Ohio State University at Marion,the ohio state university at marion,NA,NA
2801965753,united states global change research program,United States Global Change Research Program,united states global change research program,NA,NA
2802135278,desert botanical garden,Desert Botanical Garden,desert botanical garden,NA,NA
2802206110,jewish museum,Jewish Museum,jewish museum,NA,NA
2802249273,mallow general hospital,Mallow General Hospital,mallow general hospital,NA,NA
2802249761,catholic distance university,Catholic Distance University,catholic distance university,NA,NA
2802265490,imagine optic france,Imagine Optic (France),imagine optic (france),NA,NA
2802853663,odyssey house,Odyssey House,odyssey house,NA,NA
2802987467,harlem hospital center,Harlem Hospital Center,harlem hospital center,NA,NA
746868,alice lloyd college,Alice Lloyd College,alice lloyd college,NA,NA
6090238,iwate prefectural university,Iwate Prefectural University,iwate prefectural university,NA,NA
10595761,american college of radiology,American College of Radiology,american college of radiology,NA,NA
10902133,james i university,James I University,james i university,NA,NA
11019714,university of a coruna,University of A Coruña,university of a coruna,University of A Coruña,Spain
13399601,andover newton theological school,Andover Newton Theological School,andover newton theological school,NA,NA
17170469,solvay,Solvay,solvay,NA,NA
24715933,university of la reunion,University of La Réunion,university of la reunion,NA,NA
26402615,raghu engineering college,Raghu Engineering College,raghu engineering college,NA,NA
27963644,hhl leipzig graduate school of management,HHL Leipzig Graduate School of Management,hhl leipzig graduate school of management,NA,NA
28304128,alcoa,Alcoa,alcoa,NA,NA
29739308,guangxi normal university,Guangxi Normal University,guangxi normal university,Guangxi Normal University,China
31637741,inner mongolia university of science and technology,Inner Mongolia University of Science and Technology,inner mongolia university of science and technology,NA,NA
33003672,indian institute of management indore,Indian Institute of Management Indore,indian institute of management indore,NA,NA
33162209,islamic azad university of lahijan,Islamic Azad University of Lahijan,islamic azad university of lahijan,NA,NA
34771391,university of cyprus,University of Cyprus,university of cyprus,University of Cyprus,Cyprus
41458283,federal university of tocantins,Federal University of Tocantins,federal university of tocantins,NA,NA
47807185,saigon university,Saigon University,saigon university,NA,NA
55862774,west bengal state university,West Bengal State University,west bengal state university,NA,NA
68376335,rajiv gandhi college of veterinary and animal sciences,Rajiv Gandhi College of Veterinary and Animal Sciences,rajiv gandhi college of veterinary and animal sciences,NA,NA
70745867,kla tencor,KLA-Tencor,kla-tencor,NA,NA
76214153,lanzhou university,Lanzhou University,lanzhou university,Lanzhou University,China
79238269,university of seville,University of Seville,university of seville,University of Seville,Spain
88580380,la poste,La Poste,la poste,NA,NA
88713005,fachhochschule flensburg,Fachhochschule Flensburg,fachhochschule flensburg,NA,NA
89470330,merial,Merial,merial,NA,NA
90329211,ulyanovsk state technical university,Ulyanovsk State Technical University,ulyanovsk state technical university,NA,NA
98251732,mcmaster university,McMaster University,mcmaster university,McMaster University,Canada
99490713,stetson university,Stetson University,stetson university,NA,NA
112429257,kokugakuin tochigi junior college,Kokugakuin Tochigi Junior College,kokugakuin tochigi junior college,NA,NA
115570527,dublin institute of technology,Dublin Institute of Technology,dublin institute of technology,NA,NA
120378409,chelyabinsk state pedagogical university,Chelyabinsk State Pedagogical University,chelyabinsk state pedagogical university,NA,NA
122754167,medigene,MediGene,medigene,NA,NA
126520041,university of science and technology of china,University of Science and Technology of China,university of science and technology of china,University of Science and Technology of China,China
126688049,the dartmouth institute for health policy and clinical practice,The Dartmouth Institute for Health Policy and Clinical Practice,the dartmouth institute for health policy and clinical practice,NA,NA
137459256,hyogo college of medicine,Hyogo College of Medicine,hyogo college of medicine,NA,NA
137674396,rk university,RK University,rk university,NA,NA
145294602,wessex water,Wessex Water,wessex water,NA,NA
145581781,chongqing technology and business university,Chongqing Technology and Business University,chongqing technology and business university,NA,NA
145824119,ipca laboratories ltd,Ipca Laboratories Ltd.,ipca laboratories ltd.,NA,NA
146592066,westinghouse astronuclear laboratory,Westinghouse Astronuclear Laboratory,westinghouse astronuclear laboratory,NA,NA
152195623,misurata university,Misurata University,misurata university,NA,NA
152333473,ecolab,Ecolab,ecolab,NA,NA
152812213,pennsylvania transportation institute,Pennsylvania Transportation Institute,pennsylvania transportation institute,NA,NA
153515283,european central bank,European Central Bank,european central bank,NA,NA
160986391,los angeles valley college,Los Angeles Valley College,los angeles valley college,NA,NA
162999068,touro college of osteopathic medicine,Touro College of Osteopathic Medicine,touro college of osteopathic medicine,NA,NA
164946172,hengshui university,Hengshui University,hengshui university,NA,NA
166722992,university of massachusetts medical school,University of Massachusetts Medical School,university of massachusetts medical school,University of Massachusetts Medical School,United States
168995470,tellus institute,Tellus Institute,tellus institute,NA,NA
169541294,flinders university,Flinders University,flinders university,Flinders University,Australia
170833651,dr b c roy engineering college durgapur,"Dr. B.C. Roy Engineering College, Durgapur","dr. b.c. roy engineering college, durgapur",NA,NA
174154184,lee university,Lee University,lee university,NA,NA
178117548,globalsantafe corporation,GlobalSantaFe Corporation,globalsantafe corporation,NA,NA
189532585,japan institute for labour policy and training,Japan Institute for Labour Policy and Training,japan institute for labour policy and training,NA,NA
194059303,weyerhaeuser,Weyerhaeuser,weyerhaeuser,NA,NA
196905989,ramtron international,Ramtron International,ramtron international,NA,NA
197639755,st thomas aquinas college,St. Thomas Aquinas College,st. thomas aquinas college,NA,NA
203854029,central luzon state university,Central Luzon State University,central luzon state university,NA,NA
205885097,symbol technologies,Symbol Technologies,symbol technologies,NA,NA
206926436,national league for nursing,National League for Nursing,national league for nursing,NA,NA
212038754,siliconware precision industries company ltd,"Siliconware Precision Industries Company, Ltd.","siliconware precision industries company, ltd.",NA,NA
217913027,flamel technologies,Flamel Technologies,flamel technologies,NA,NA
224382143,the explorers club,The Explorers Club,the explorers club,NA,NA
249221365,kwangju health college,Kwangju Health College,kwangju health college,NA,NA
875293437,riu hotels,RIU Hotels,riu hotels,NA,NA
877506347,abertay university,Abertay University,abertay university,NA,NA
900338111,alagappa government arts college,Alagappa Government Arts College,alagappa government arts college,NA,NA
1280640908,the nature conservancy,The Nature Conservancy,the nature conservancy,NA,NA
1286141780,library and archives canada,Library and Archives Canada,library and archives canada,NA,NA
1295121038,leeds general infirmary,Leeds General Infirmary,leeds general infirmary,NA,NA
1295960279,jasco applied sciences,JASCO Applied Sciences,jasco applied sciences,NA,NA
1296611117,indian grassland and fodder research institute,Indian Grassland and Fodder Research Institute,indian grassland and fodder research institute,NA,NA
1301400270,michigan molecular institute,Michigan Molecular Institute,michigan molecular institute,NA,NA
1305322584,queensland environmental protection agency,Queensland Environmental Protection Agency,queensland environmental protection agency,NA,NA
1308928477,equal opportunities commission,Equal Opportunities Commission,equal opportunities commission,NA,NA
1312504184,genomatix,Genomatix,genomatix,NA,NA
1314135232,nationwide children s hospital,Nationwide Children's Hospital,nationwide children's hospital,NA,NA
1316424625,minaret of freedom institute,Minaret of Freedom Institute,minaret of freedom institute,NA,NA
1317897188,children s institute inc,Children's Institute Inc.,children's institute inc.,NA,NA
1321659569,european space operations centre,European Space Operations Centre,european space operations centre,NA,NA
1322859765,guidewire software,Guidewire Software,guidewire software,NA,NA
1327930874,apollo hospitals,Apollo Hospitals,apollo hospitals,NA,NA
1336939341,kaiser family foundation,Kaiser Family Foundation,kaiser family foundation,NA,NA
1342842691,sons of the american revolution,Sons of the American Revolution,sons of the american revolution,NA,NA
2799665334,royal college of ophthalmologists,Royal College of Ophthalmologists,royal college of ophthalmologists,NA,NA
2799709066,bangladesh academy of sciences,Bangladesh Academy of Sciences,bangladesh academy of sciences,NA,NA
2799887075,calderdale royal hospital,Calderdale Royal Hospital,calderdale royal hospital,NA,NA
2800068374,rocky mountain college of art and design,Rocky Mountain College of Art and Design,rocky mountain college of art and design,NA,NA
2800085125,mornington peninsula shire,Mornington Peninsula Shire,mornington peninsula shire,NA,NA
2800096870,staatliche akademie der bildenden kunste stuttgart,Staatliche Akademie der Bildenden Künste Stuttgart,staatliche akademie der bildenden kunste stuttgart,NA,NA
2800271471,society for endocrinology,Society for Endocrinology,society for endocrinology,NA,NA
2800447175,arizona historical society,Arizona Historical Society,arizona historical society,NA,NA
2800649613,university of missouri health system,University of Missouri Health System,university of missouri health system,NA,NA
2800713431,saint vincent hospital,Saint Vincent Hospital,saint vincent hospital,NA,NA
2800878267,american heart institute,American Heart Institute,american heart institute,NA,NA
2801038763,henry cogswell college,Henry Cogswell College,henry cogswell college,NA,NA
2801087145,coventry city council,Coventry City Council,coventry city council,NA,NA
2801092184,central water and power research station,Central Water and Power Research Station,central water and power research station,NA,NA
2801168572,washington state department of early learning,Washington State Department of Early Learning,washington state department of early learning,NA,NA
2801225050,bronglais general hospital,Bronglais General Hospital,bronglais general hospital,NA,NA
2801260349,gateway community and technical college,Gateway Community and Technical College,gateway community and technical college,NA,NA
2801322200,beebe healthcare,Beebe Healthcare,beebe healthcare,NA,NA
2801418629,new york state office of parks recreation and historic preservation,"New York State Office of Parks, Recreation and Historic Preservation","new york state office of parks, recreation and historic preservation",NA,NA
2801737446,supreme council of antiquities,Supreme Council of Antiquities,supreme council of antiquities,NA,NA
2801750073,centenary college of new jersey,Centenary College of New Jersey,centenary college of new jersey,NA,NA
2801803865,tanana chiefs conference,Tanana Chiefs Conference,tanana chiefs conference,NA,NA
2801979358,wesley biblical seminary,Wesley Biblical Seminary,wesley biblical seminary,NA,NA
2801983610,digital public library of america,Digital Public Library of America,digital public library of america,NA,NA
2802043524,university of somalia,University of Somalia,university of somalia,NA,NA
2802052008,bethany university,Bethany University,bethany university,NA,NA
2802126911,von roll switzerland,Von Roll (Switzerland),von roll (switzerland),NA,NA
2802217488,north carolina department of agriculture and consumer services,North Carolina Department of Agriculture and Consumer Services,north carolina department of agriculture and consumer services,NA,NA
2802250515,anti corruption and civil rights commission,Anti Corruption and Civil Rights Commission,anti corruption and civil rights commission,NA,NA
2802367119,tenri hospital,Tenri Hospital,tenri hospital,NA,NA
2802466663,state museum of natural history karlsruhe,State Museum of Natural History Karlsruhe,state museum of natural history karlsruhe,NA,NA
2802662215,tinker air force base,Tinker Air Force Base,tinker air force base,NA,NA
2802710900,czech olympic committee,Czech Olympic Committee,czech olympic committee,NA,NA
2802723752,derriford hospital,Derriford Hospital,derriford hospital,NA,NA
2802862141,north okkalapa general hospital,North Okkalapa General Hospital,north okkalapa general hospital,NA,NA
2802865615,pennsylvania coalition against rape,Pennsylvania Coalition Against Rape,pennsylvania coalition against rape,NA,NA
2802999702,regional municipality of niagara,Regional Municipality of Niagara,regional municipality of niagara,NA,NA
2803035111,fundamental research on matter institute for atomic and molecular physics,Fundamental Research on Matter Institute for Atomic and Molecular Physics,fundamental research on matter institute for atomic and molecular physics,NA,NA
2803051454,jack miller center,Jack Miller Center,jack miller center,NA,NA
2945732944,lyft,Lyft,lyft,NA,NA
443798,national defense academy of japan,National Defense Academy of Japan,national defense academy of japan,NA,NA
8764889,university of gondar,University of Gondar,university of gondar,NA,NA
11193315,instituto superior de contabilidade e administracao do porto,Instituto Superior de Contabilidade e Administracao do Porto,instituto superior de contabilidade e administracao do porto,NA,NA
16103854,remote sensing center,Remote Sensing Center,remote sensing center,NA,NA
33523713,civil aeronautics administration,Civil Aeronautics Administration,civil aeronautics administration,NA,NA
35637935,tallahassee community college,Tallahassee Community College,tallahassee community college,NA,NA
36152291,henan university of technology,Henan University of Technology,henan university of technology,NA,NA
37415318,bates college,Bates College,bates college,NA,NA
38007976,de lin institute of technology,De Lin Institute of Technology,de lin institute of technology,NA,NA
38574745,amp capital,AMP Capital,amp capital,NA,NA
39553462,national university of san juan,National University of San Juan,national university of san juan,NA,NA
43518871,national kaohsiung marine university,National Kaohsiung Marine University,national kaohsiung marine university,NA,NA
46520130,chaohu university,Chaohu University,chaohu university,NA,NA
48350267,central japan railway company,Central Japan Railway Company,central japan railway company,NA,NA
51205905,kedge business school,KEDGE Business School,kedge business school,NA,NA
51993856,cri,CRI,cri,NA,NA
60158472,concordia university,Concordia University,concordia university,Concordia University,Canada
60341648,the evergreen state college,The Evergreen State College,the evergreen state college,NA,NA
60922557,upper iowa university,Upper Iowa University,upper iowa university,NA,NA
67868205,hanoi university of science,Hanoi University of Science,hanoi university of science,NA,NA
68243183,institute of molecular biology and genetics of nasu,Institute of Molecular Biology and Genetics of NASU,institute of molecular biology and genetics of nasu,NA,NA
73650269,nomura research institute,Nomura Research Institute,nomura research institute,NA,NA
74813324,mekelle university,Mekelle University,mekelle university,NA,NA
75522678,tokyo university of science yamaguchi,"Tokyo University of Science, Yamaguchi","tokyo university of science, yamaguchi",NA,NA
79619799,university of birmingham,University of Birmingham,university of birmingham,University of Birmingham,United Kingdom
90060838,africa rice center,Africa Rice Center,africa rice center,NA,NA
98905743,kastamonu university,Kastamonu University,kastamonu university,NA,NA
99418890,northwestern polytechnic university,Northwestern Polytechnic University,northwestern polytechnic university,NA,NA
100417612,cj cheiljedang,CJ CheilJedang,cj cheiljedang,NA,NA
100801824,madras institute of technology,Madras Institute of Technology,madras institute of technology,NA,NA
109780856,argosy university,Argosy University,argosy university,NA,NA
118073183,meharry medical college,Meharry Medical College,meharry medical college,NA,NA
119234918,university of northern iowa,University of Northern Iowa,university of northern iowa,NA,NA
124726342,hong duc university,Hong Duc University,hong duc university,NA,NA
125968788,norwegian geotechnical institute,Norwegian Geotechnical Institute,norwegian geotechnical institute,NA,NA
136605902,royal college of music,Royal College of Music,royal college of music,NA,NA
142899784,university of sfax,University of Sfax,university of sfax,University of Sfax,Tunisia
144302436,rijkswaterstaat,Rijkswaterstaat,rijkswaterstaat,NA,NA
148212101,new era university,New Era University,new era university,NA,NA
149899117,max planck society,Max Planck Society,max planck society,NA,NA
156762387,addis continental institute of public health,Addis Continental Institute of Public Health,addis continental institute of public health,NA,NA
156802259,eastern virginia medical school,Eastern Virginia Medical School,eastern virginia medical school,NA,NA
166382143,moscow state university of printing arts,Moscow State University of Printing Arts,moscow state university of printing arts,NA,NA
180498684,metropolitan university prague,Metropolitan University Prague,metropolitan university prague,NA,NA
183003952,ilia state university,Ilia State University,ilia state university,NA,NA
187521650,county college of morris,County College of Morris,county college of morris,NA,NA
197358716,wirral metropolitan college,Wirral Metropolitan College,wirral metropolitan college,NA,NA
199440890,american university of sharjah,American University of Sharjah,american university of sharjah,NA,NA
200492978,coimbatore institute of technology,Coimbatore Institute of Technology,coimbatore institute of technology,NA,NA
206192294,center for european integration studies,Center for European Integration Studies,center for european integration studies,NA,NA
221092938,krishna university,Krishna University,krishna university,NA,NA
236957219,notre dame seishin university,Notre Dame Seishin University,notre dame seishin university,NA,NA
243062068,mahle powertrain,MAHLE Powertrain,mahle powertrain,NA,NA
261911118,bahrain petroleum company,Bahrain Petroleum Company,bahrain petroleum company,NA,NA
292141241,munich school of philosophy,Munich School of Philosophy,munich school of philosophy,NA,NA
861081372,selkirk college,Selkirk College,selkirk college,NA,NA
884084634,john snow inc,"John Snow, Inc","john snow, inc",NA,NA
887689190,axioma,Axioma,axioma,NA,NA
896284681,fcm travel solutions,FCm Travel Solutions,fcm travel solutions,NA,NA
1281389954,foundation for innovative new diagnostics,Foundation for Innovative New Diagnostics,foundation for innovative new diagnostics,NA,NA
1283532917,american refugee committee,American Refugee Committee,american refugee committee,NA,NA
1285269432,el economista,El Economista,el economista,NA,NA
1302598760,national ffa organization,National FFA Organization,national ffa organization,NA,NA
1304256225,university of wisconsin system,University of Wisconsin System,university of wisconsin system,NA,NA
1312846040,directorate general of traffic,Directorate General of Traffic,directorate general of traffic,NA,NA
1313967475,american academy of arts and sciences,American Academy of Arts and Sciences,american academy of arts and sciences,NA,NA
1314284307,wiley vch,Wiley-VCH,wiley-vch,NA,NA
1315677300,puerto rico department of natural and environmental resources,Puerto Rico Department of Natural and Environmental Resources,puerto rico department of natural and environmental resources,NA,NA
1318101084,integris baptist medical center,Integris Baptist Medical Center,integris baptist medical center,NA,NA
1319467667,southern education and library board,Southern Education and Library Board,southern education and library board,NA,NA
1321067030,zoological society of london,Zoological Society of London,zoological society of london,NA,NA
1321573313,chesapeake regional medical center,Chesapeake Regional Medical Center,chesapeake regional medical center,NA,NA
1329578906,wwf india,WWF-India,wwf-india,NA,NA
1335486098,electric power research institute,Electric Power Research Institute,electric power research institute,NA,NA
2799756090,columbus zoo and aquarium,Columbus Zoo and Aquarium,columbus zoo and aquarium,NA,NA
2799891779,archaeological conservancy,Archaeological Conservancy,archaeological conservancy,NA,NA
2800102685,santosh university,Santosh University,santosh university,NA,NA
2800215711,robina hospital,Robina Hospital,robina hospital,NA,NA
2800363604,walter reed national military medical center,Walter Reed National Military Medical Center,walter reed national military medical center,NA,NA
2800464100,birmingham community healthcare nhs trust,Birmingham Community Healthcare NHS Trust,birmingham community healthcare nhs trust,NA,NA
2800486126,central norway regional health authority,Central Norway Regional Health Authority,central norway regional health authority,NA,NA
2800557468,utah state university eastern,Utah State University Eastern,utah state university eastern,NA,NA
2800616835,engineers without borders canada,Engineers Without Borders Canada,engineers without borders canada,NA,NA
2800620092,sarojini devi eye hospital,Sarojini Devi Eye Hospital,sarojini devi eye hospital,NA,NA
2800842210,carter bloodcare,Carter BloodCare,carter bloodcare,NA,NA
2800941145,umrao hospital,Umrao Hospital,umrao hospital,NA,NA
2801005815,egyptian e learning university,Egyptian e-Learning University,egyptian e-learning university,NA,NA
2801163536,west herts college,West Herts College,west herts college,NA,NA
2801285164,grantham hospital,Grantham Hospital,grantham hospital,NA,NA
2801376285,scott community college,Scott Community College,scott community college,NA,NA
2801911633,king fahd medical city,King Fahd Medical City,king fahd medical city,NA,NA
2802005960,society for modeling and simulation international,Society for Modeling and Simulation International,society for modeling and simulation international,NA,NA
